ds,y
2013-02-01,146843.33985917267
2013-02-02,484435.91541448666
2013-02-03,406493.7743712873
2013-02-04,359385.4639623511
2013-02-05,336244.605460356
2013-02-06,293879.36142497143
2013-02-07,169631.26186363373
2013-02-08,62810.65864389233
2013-02-09,220805.67679358713
2013-02-10,220528.72735677968
2013-02-11,212293.78886979434
2013-02-12,203552.74237575728
2013-02-13,177673.1877504208
2013-02-14,120021.50354604531
2013-02-15,38428.277970872296
2013-02-16,162483.64095824378
2013-02-17,173668.7300296434
2013-02-18,174249.74356292642
2013-02-19,165100.9669333658
2013-02-20,320796.1221599019
2013-02-21,292013.9879723667
2013-02-22,148132.94794055822
2013-02-23,420141.18356138986
2013-02-24,342143.33584400715
2013-02-25,292134.1256383784
2013-02-26,291919.05947825615
2013-02-27,257840.82302256906
2013-02-28,165457.01624518048
2013-03-01,77710.1465397601
2013-03-02,250076.27991330836
2013-03-03,239181.70277641865
2013-03-04,216531.86685462587
2013-03-05,209050.60416975192
2013-03-06,178122.14699163285
2013-03-07,119555.56799522883
2013-03-08,54427.450722519
2013-03-09,205308.42272416706
2013-03-10,190070.34082348252
2013-03-11,188518.82514203436
2013-03-12,172178.38642567152
2013-03-13,203115.68735963167
2013-03-14,295114.6577723966
2013-03-15,228043.9008935649
2013-03-16,500640.74879980064
2013-03-17,376473.4975947851
2013-03-18,343826.9209756165
2013-03-19,286657.01964044955
2013-03-20,220353.01661013
2013-03-21,143614.25229415897
2013-03-22,78782.9739431968
2013-03-23,242476.5458471336
2013-03-24,218475.11254748213
2013-03-25,234172.48728334793
2013-03-26,229672.36948835544
2013-03-27,202180.05560787802
2013-03-28,132578.3469428945
2013-03-29,49712.70652431115
2013-03-30,208820.30967226828
2013-03-31,199800.9277782936
2013-04-01,162359.5706517491
2013-04-02,163118.52803249066
2013-04-03,31444.401625786726
2013-04-04,93597.34629233392
2013-04-05,28969.605648430716
2013-04-06,69259.8297660604
2013-04-07,204113.3839317405
2013-04-08,159756.42004238395
2013-04-09,170937.66126056592
2013-04-10,160485.88638968207
2013-04-11,237575.61307694088
2013-04-12,153952.80853752373
2013-04-13,441229.71601397987
2013-04-14,481413.9010854258
2013-04-15,420774.5834699904
2013-04-16,354691.4284540172
2013-04-17,276466.9424744724
2013-04-18,190839.94471111443
2013-04-19,77434.57101543764
2013-04-20,270978.7414336937
2013-04-21,221427.9168086501
2013-04-22,210565.06295049927
2013-04-23,194772.8214450305
2013-04-24,169404.99416389415
2013-04-25,111300.32368861217
2013-04-26,48678.862350729585
2013-04-27,201381.49713238885
2013-04-28,203992.0407037292
2013-04-29,197548.53822879432
2013-04-30,186575.81141690337
2013-05-01,35864.32157619232
2013-05-02,134226.54756552877
2013-05-03,86586.09069597028
2013-05-04,271934.96763331577
2013-05-05,320162.9862860063
2013-05-06,349987.75424286665
2013-05-07,326420.4928301822
2013-05-08,226603.81152962637
2013-05-09,146955.8246372541
2013-05-10,61529.12227940623
2013-05-11,241576.19312783808
2013-05-12,197622.27558992186
2013-05-13,172258.21078731358
2013-05-14,46018.98006352982
2013-05-15,162215.8876152556
2013-05-16,92016.95265199103
2013-05-17,41077.275026927186
2013-05-18,182971.6774577802
2013-05-19,174656.4138025896
2013-05-20,169209.30045946615
2013-05-21,164176.41668594722
2013-05-22,157747.30842819627
2013-05-23,173411.69758778237
2013-05-24,70986.31269917557
2013-05-25,89882.80599510348
2013-05-26,367552.01355372637
2013-05-27,273254.7692434338
2013-05-28,238040.88743588532
2013-05-29,190243.72460672408
2013-05-30,123617.03506948317
2013-05-31,56973.12889106372
2013-06-01,205746.276804752
2013-06-02,176420.6746941228
2013-06-03,155249.04405002025
2013-06-04,90686.4343135503
2013-06-05,161321.28248933767
2013-06-06,91711.07199369521
2013-06-07,47838.908157559126
2013-06-08,161376.91120179193
2013-06-09,145944.71033962842
2013-06-10,140858.16005523587
2013-06-11,141794.59913425148
2013-06-12,107541.22509000092
2013-06-13,66079.37506681729
2013-06-14,24302.062950523363
2013-06-15,134467.5586650943
2013-06-16,131020.48171853561
2013-06-17,122870.26050386358
2013-06-18,135916.8958082831
2013-06-19,132157.23708449083
2013-06-20,149258.33394817813
2013-06-21,99049.02145861182
2013-06-22,282635.3746296146
2013-06-23,264750.34096775146
2013-06-24,223097.34154571538
2013-06-25,205333.891336308
2013-06-26,173739.96793004684
2013-06-27,114120.43673511222
2013-06-28,57460.83021074201
2013-06-29,224987.23376363853
2013-06-30,190661.32732573268
2013-07-01,177203.52416467428
2013-07-02,182310.75932842665
2013-07-03,150691.48550291636
2013-07-04,85615.00187419927
2013-07-05,35993.18850531783
2013-07-06,178111.67323316602
2013-07-07,161674.34370078766
2013-07-08,168820.63567071033
2013-07-09,182340.15382148643
2013-07-10,164100.63697769472
2013-07-11,173755.25761658046
2013-07-12,111092.23780275407
2013-07-13,335532.21618111135
2013-07-14,377671.02310147794
2013-07-15,337932.279488762
2013-07-16,283057.3096699463
2013-07-17,232887.3680697014
2013-07-18,144266.52326957515
2013-07-19,78960.8797653229
2013-07-20,262087.0087688817
2013-07-21,228261.69929593953
2013-07-22,218527.61959846521
2013-07-23,203532.62884551045
2013-07-24,168084.7399446138
2013-07-25,110025.44688852044
2013-07-26,50390.60679109555
2013-07-27,190677.5719260048
2013-07-28,175242.7368976941
2013-07-29,168209.71545176877
2013-07-30,158930.65298768025
2013-07-31,159879.30064065446
2013-08-01,172318.4017884112
2013-08-02,103347.74135399477
2013-08-03,318476.2336435624
2013-08-04,291465.24297171726
2013-08-05,249793.9507904975
2013-08-06,235617.21622271018
2013-08-07,187223.42699286476
2013-08-08,109018.4148712053
2013-08-09,42469.810245942805
2013-08-10,189923.11499726766
2013-08-11,183097.24172737048
